SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,0,19,2018-04-06 07:50:45,2018-04-06 12:27:08,敤歳潴⵰浰挶㘵d,28:e3:47:01:77:77,C:\Users\jcloudy\Downloads\rootkey.csv,1,False,36c21b6d-396f-11e8-9b15-28e347017777,36c21b6d-396f-11e8-9b15-28e347017777,bc7539be-7b5b-4e04-9f8d-1c0d9b3aff21,bc7539be-7b5b-4e04-9f8d-1c0d9b3aff21,2018-03-27 23:59:20,2018-03-27 23:59:20,2018-03-27 23:59:20,90,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Downloads\rootkey.csv,,My Computer\C:\Users\jcloudy\Downloads\rootkey.csv,0x22044,0x11,desktop-pm6c56d,28:e3:47:01:77:77,2018-04-06 07:50:45,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,1,18,,2018-04-06 03:56:32,,,C:\Users\jcloudy\Desktop\LeftUsesBoycotts.pdf,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\LeftUsesBoycotts.pdf,,My Computer\C:\Users\jcloudy\Desktop\LeftUsesBoycotts.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,2,17,,2018-04-06 03:55:00,,,C:\Users\jcloudy\Desktop\AMEN.pdf,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\AMEN.pdf,,My Computer\C:\Users\jcloudy\Desktop\AMEN.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,3,4,,2018-04-05 08:32:48,,,C:\Users\jcloudy\Desktop\Planning.docx,12,False,,,,,2018-03-30 02:16:48,2018-04-04 05:30:41,2018-04-04 05:30:41,14060,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Planning.docx,,My Computer\C:\Users\jcloudy\Desktop\Planning.docx,0x21336,0x6,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-27 21:45:39,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,4,16,,2018-04-05 05:51:41,,,C:\Users\jcloudy\Desktop\UKknifeBan.pdf,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\UKknifeBan.pdf,,My Computer\C:\Users\jcloudy\Desktop\UKknifeBan.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,5,15,,2018-04-05 05:48:40,,,C:\Users\jcloudy\Desktop\SelfDefenseisMurder.pdf,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\SelfDefenseisMurder.pdf,,My Computer\C:\Users\jcloudy\Desktop\SelfDefenseisMurder.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,6,14,,2018-04-05 02:41:01,,,C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,2,False,,,,,2018-04-05 02:39:29,2018-04-05 02:39:30,2018-04-05 02:39:30,12547,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,,My Computer\C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,0x21C18,0x7,desktop-pm6c56d,28:e3:47:01:77:77,2018-04-04 06:24:29,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,7,13,,2018-04-04 05:31:23,,,C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx,3,False,,,,,2018-04-04 04:56:19,2018-04-04 05:11:27,2018-04-04 05:11:27,4408968,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx,,My Computer\C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx,0x2356D,0xE,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,8,5,,2018-04-04 05:11:46,,,C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx,12,False,,,,,2018-03-30 02:29:57,2018-04-04 04:59:32,2018-04-04 04:59:32,172684,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx,,My Computer\C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx,0x2079F,0x8,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-27 21:45:39,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,9,12,,2018-04-03 06:11:21,,,C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx,3,False,,,,,2018-04-02 01:35:27,2018-04-02 01:35:27,2018-04-02 01:35:27,816313,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx,,My Computer\C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx,0x21337,0x4,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,10,8,,2018-04-02 01:12:52,,,C:\Users\jcloudy\Desktop\Sheep.jpg,2,False,,,,,2018-03-30 03:32:40,2018-03-30 03:32:40,2018-03-30 03:32:34,11073,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Sheep.jpg,,My Computer\C:\Users\jcloudy\Desktop\Sheep.jpg,0x22D31,0xB,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,11,6,,2018-04-02 01:12:41,,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg,2,False,,,,,2018-03-30 03:29:20,2018-03-30 03:29:20,2018-03-30 03:29:02,43525,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg,,My Computer\Desktop\HoldMyTidePod.jpg,0x22CF1,0x7,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,12,E,,2018-04-02 01:10:19,,,C:\Users\jcloudy\Desktop\DeathToll.jpg,2,False,,,,,2018-03-31 04:16:22,2018-03-31 04:16:22,2018-03-31 04:16:11,61596,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DeathToll.jpg,,My Computer\C:\Users\jcloudy\Desktop\DeathToll.jpg,0xA55D,0x6,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,13,11,,2018-03-31 04:23:25,,,C:\Users\jcloudy\Desktop\Huckleberry.png,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Huckleberry.png,,My Computer\C:\Users\jcloudy\Desktop\Huckleberry.png,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,14,10,,2018-03-31 04:19:35,,,C:\Users\jcloudy\Desktop\DemLogic.jpg,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DemLogic.jpg,,My Computer\C:\Users\jcloudy\Desktop\DemLogic.jpg,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,15,F,,2018-03-31 04:16:59,,,C:\Users\jcloudy\Desktop\RedGuns.jpg,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\RedGuns.jpg,,My Computer\C:\Users\jcloudy\Desktop\RedGuns.jpg,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,16,D,,2018-03-31 04:15:53,,,C:\Users\jcloudy\Desktop\BladeofGrass.jpg,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\BladeofGrass.jpg,,My Computer\C:\Users\jcloudy\Desktop\BladeofGrass.jpg,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,17,C,,2018-03-30 21:22:55,,,C:\Users\jcloudy\Desktop\CubaDearmed.jpg,1,False,,,,,2018-03-30 21:22:55,2018-03-30 21:22:56,2018-03-30 21:22:40,83378,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\CubaDearmed.jpg,,My Computer\Desktop\CubaDearmed.jpg,0x0,,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,18,9,,2018-03-30 03:33:50,,,C:\Users\jcloudy\Desktop\DarkWolf.png,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DarkWolf.png,,My Computer\C:\Users\jcloudy\Desktop\DarkWolf.png,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,19,7,,2018-03-30 03:31:10,,,C:\Users\jcloudy\Desktop\MyTiredHead.jpg,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\MyTiredHead.jpg,,My Computer\C:\Users\jcloudy\Desktop\MyTiredHead.jpg,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,20,2,2018-03-27 12:13:12,2018-03-27 09:51:12,敤歳潴⵰浰挶㘵d,ec:f4:bb:48:7f:ed,C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf,1,False,3869cd90-31b8-11e8-9b12-ecf4bb487fed,3869cd90-31b8-11e8-9b12-ecf4bb487fed,bc7539be-7b5b-4e04-9f8d-1c0d9b3aff21,bc7539be-7b5b-4e04-9f8d-1c0d9b3aff21,2018-03-27 09:50:14,2018-03-03 08:03:14,2018-03-27 09:50:15,398083,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf,,My Computer\C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf,0x16E37,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,21,1,,2018-03-27 09:23:14,,,D:\key.txt,1,False,,,,,2018-03-22 03:05:22,2018-03-22 03:05:24,2018-03-22 03:05:24,183,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",4C36F4AC,CloudLog,D:\key.txt,,My Computer\D:\key.txt,0x318200,,,,,PropertyStoreDataBlock,,
